BAD,LOAN,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC_missing,DEBTINC_median,REASON_DebtCon,REASON_HomeImp,JOB_Mgr,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1,4000,52012.0,22.0,3,1,85.0,1,9,1,34.818261819,0,1,0,0,0,1,0,0
1,4000,37200.0,6.0,0,0,92.0,1,26,1,34.818261819,1,0,0,0,1,0,0,0
1,4000,76725.0,0.5,0,3,136.0,0,15,1,34.818261819,0,1,0,0,1,0,0,0
1,4000,69440.0,3.5,0,1,169.0,0,18,1,34.818261819,0,1,0,0,1,0,0,0
1,4000,18000.0,7.0,0,0,12.0,0,17,1,34.818261819,1,0,0,0,1,0,0,0
1,4000,58350.0,3.5,0,0,162.0,3,16,1,34.818261819,0,1,1,0,0,0,0,0
1,4000,16020.0,18.0,0,1,86.0,2,23,1,34.818261819,0,1,0,0,1,0,0,0
0,4000,79050.0,1.8,2,0,279.0,1,6,1,34.818261819,0,1,0,0,1,0,0,0
0,4000,45760.0,0.0,0,0,477.0,0,0,1,34.818261819,0,1,0,0,1,0,0,0
0,4000,78000.0,4.0,0,0,110.0,0,15,1,34.818261819,0,1,0,0,1,0,0,0
0,4000,63990.0,5.0,2,0,160.0,1,23,1,34.818261819,0,1,0,0,0,0,1,0
1,4000,93000.0,2.6,1,3,187.0,2,9,1,34.818261819,0,1,0,0,0,1,0,0
1,4000,59000.0,12.0,2,0,146.0,0,22,1,34.818261819,1,0,0,0,1,0,0,0
0,4000,80698.0,11.0,0,1,212.0,0,25,0,39.128717628,0,1,1,0,0,0,0,0
0,4000,71865.0,10.0,0,2,228.0,0,25,0,39.166328703,0,1,1,0,0,0,0,0
1,4100,19132.0,0.0,0,0,101.0,0,19,0,33.840919904,0,1,0,0,1,0,0,0
1,4100,65000.0,8.0,1,2,64.0,2,15,1,34.818261819,0,1,0,0,1,0,0,0
0,4100,63797.0,7.0,0,4,166.0,1,31,0,22.27817437,1,0,0,0,0,1,0,0
0,4200,59218.0,19.0,0,0,211.0,1,20,0,19.027704425,0,1,0,1,0,0,0,0
1,4200,50225.0,2.0,1,0,94.0,1,5,1,34.818261819,0,1,0,0,1,0,0,0
0,4200,77000.0,4.0,0,0,129.0,0,31,1,34.818261819,1,0,0,0,0,0,1,0
0,4200,55085.0,6.0,2,1,75.0,1,16,1,34.818261819,1,0,0,0,1,0,0,0
0,4200,82953.0,3.0,0,0,110.0,0,15,0,43.450587911,0,1,0,0,1,0,0,0
0,4200,58541.0,19.0,0,0,210.0,0,19,0,20.20803267,0,1,0,1,0,0,0,0
0,4300,78698.0,3.0,0,0,130.0,0,31,0,34.181376516,1,0,0,0,0,0,1,0
0,4300,79852.0,6.0,0,0,105.0,0,14,0,41.806376152,0,1,0,0,1,0,0,0
0,4300,80027.0,2.0,2,0,264.0,0,5,0,36.432093937,0,1,0,0,1,0,0,0
0,4400,63869.0,7.0,0,3,162.0,0,30,0,23.581079239,1,0,0,0,0,1,0,0
0,4400,60250.0,7.0,0,0,180.0,1,21,1,34.818261819,1,0,0,0,1,0,0,0
1,4400,64074.0,14.0,1,3,90.0,0,17,0,39.158084834,1,0,0,1,0,0,0,0
0,4500,79087.0,4.0,1,0,81.0,0,15,0,40.70530876,0,1,0,0,1,0,0,0
0,4500,77182.0,7.0,0,0,180.0,1,21,0,25.227252904,1,0,0,0,1,0,0,0
1,4500,66000.0,1.0,0,0,170.0,1,19,1,34.818261819,0,1,0,0,1,0,0,0
0,4500,79247.0,4.0,0,0,119.0,0,14,0,41.421110521,0,1,0,0,1,0,0,0
0,4500,49044.0,0.0,0,0,477.0,0,0,0,11.652738796,0,1,0,0,1,0,0,0
1,4500,89235.5,5.0,1,0,223.0,1,13,1,34.818261819,0,1,0,0,1,0,0,0
1,4500,46000.0,3.5,0,1,123.0,2,22,1,34.818261819,0,1,1,0,0,0,0,0
1,4500,87000.0,10.0,0,4,126.0,0,34,1,34.818261819,1,0,0,0,0,1,0,0
0,4500,50000.0,6.0,0,0,86.0,0,18,1,34.818261819,0,1,0,0,1,0,0,0
1,4500,146870.0,4.5,2,0,204.0,1,20,1,34.818261819,0,1,0,0,0,1,0,0
1,4500,105800.0,6.0,2,3,80.0,3,10,1,34.818261819,0,1,0,0,1,0,0,0
0,4700,97205.0,2.0,0,0,143.0,0,24,0,35.226997192,1,0,1,0,0,0,0,0
0,4700,88566.0,2.0,2,0,284.0,0,5,0,36.475473283,0,1,0,0,1,0,0,0
0,4700,59511.0,6.0,0,0,54.0,1,15,0,34.416507811,1,0,0,0,1,0,0,0
1,4700,58238.0,0.1,0,0,62.0,2,17,1,34.818261819,0,1,0,0,0,1,0,0
0,4700,115506.0,6.0,0,0,182.0,0,27,0,29.20902258,0,1,0,0,0,1,0,0
1,4700,45000.0,9.0,1,2,90.0,1,16,1,34.818261819,0,1,0,0,0,1,0,0
0,4800,97191.0,3.0,0,0,137.0,0,23,0,34.275293777,1,0,1,0,0,0,0,0
0,4800,63102.0,9.0,0,3,160.0,1,30,0,21.583760121,1,0,0,0,0,1,0,0
0,4800,88342.0,7.0,0,0,275.0,0,11,0,43.717635112,0,1,0,0,0,1,0,0
0,4900,63348.0,9.0,0,3,179.0,2,31,0,22.544392837,1,0,0,0,0,1,0,0
0,4900,90408.0,2.0,0,0,142.0,0,23,0,37.76961861,1,0,1,0,0,0,0,0
1,4900,23031.0,5.0,0,0,102.0,0,8,0,33.243156978,0,1,0,0,1,0,0,0
0,4900,84630.0,4.0,0,0,113.0,0,15,0,41.673996362,0,1,0,0,1,0,0,0
1,4900,59745.0,10.0,0,0,82.0,3,13,1,34.818261819,0,1,0,0,1,0,0,0
0,4900,28437.5,7.0,0,0,180.0,1,21,1,34.818261819,0,1,0,0,1,0,0,0
0,4900,245300.0,7.0,0,0,132.0,0,22,1,34.818261819,1,0,0,0,0,0,1,0
1,4900,65774.0,6.0,1,2,62.0,1,14,0,40.590910018,0,1,0,0,1,0,0,0
0,4900,68494.0,8.0,0,4,184.0,0,30,0,22.795423552,1,0,0,0,0,1,0,0
0,4900,69706.0,7.0,0,0,180.0,1,21,0,33.705587738,1,0,0,0,1,0,0,0
0,5000,34846.0,7.0,0,0,180.0,1,21,0,33.354652626,0,1,0,0,1,0,0,0
0,5000,61690.0,5.0,0,0,65.0,1,16,0,36.699414922,1,0,0,0,1,0,0,0
0,5000,87168.0,4.0,0,0,123.0,0,15,0,40.616779346,0,1,0,0,1,0,0,0
0,5000,53448.0,7.0,0,0,207.0,0,12,0,44.107951691,0,1,0,0,0,0,0,1
0,5000,113714.0,7.0,0,0,194.0,0,28,0,25.897316482,0,1,0,0,0,1,0,0
1,5000,34900.0,10.0,0,0,66.0,1,5,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,70500.0,0.4,0,0,62.0,2,8,1,34.818261819,0,1,1,0,0,0,0,0
1,5000,102700.0,5.0,0,1,59.0,0,16,1,34.818261819,0,1,1,0,0,0,0,0
1,5000,47350.0,12.0,0,0,180.0,1,21,1,34.818261819,0,1,0,0,0,1,0,0
1,5000,126500.0,3.0,0,0,100.0,0,14,1,34.818261819,0,1,0,1,0,0,0,0
1,5000,129693.5,13.0,0,0,180.0,1,21,1,34.818261819,0,1,1,0,0,0,0,0
1,5000,132000.0,17.5,0,2,122.0,0,14,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,9100.0,1.0,0,0,55.0,2,8,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,50830.0,6.0,0,0,57.0,1,9,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,71277.0,10.0,0,0,72.0,1,12,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,157500.0,9.0,0,0,180.0,1,21,1,34.818261819,0,1,1,0,0,0,0,0
1,5000,25250.0,6.0,0,0,89.0,1,3,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,52000.0,7.0,0,1,285.0,0,6,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,34225.0,4.0,0,0,75.0,3,9,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,38575.0,7.0,0,1,335.0,3,42,1,34.818261819,0,1,0,0,0,0,0,1
1,5000,74500.0,19.0,0,0,180.0,1,21,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,94119.0,19.0,0,0,180.0,1,21,1,34.818261819,0,1,0,0,1,0,0,0
0,5000,87500.0,1.0,0,0,126.0,2,10,1,34.818261819,1,0,0,0,1,0,0,0
0,5000,86250.0,19.0,0,1,300.0,1,24,1,34.818261819,1,0,1,0,0,0,0,0
0,5000,35000.0,12.0,0,0,183.0,0,13,1,34.818261819,0,1,0,0,0,1,0,0
0,5000,50340.0,10.0,0,0,180.0,0,19,1,34.818261819,0,1,0,1,0,0,0,0
0,5000,26550.0,1.7,0,0,277.0,1,14,1,34.818261819,1,0,0,0,1,0,0,0
0,5000,77908.0,5.0,0,0,180.0,1,21,1,34.818261819,1,0,0,0,1,0,0,0
0,5000,36375.0,3.0,0,0,267.0,1,26,1,34.818261819,0,1,0,0,1,0,0,0
0,5000,89640.0,0.3,0,0,180.0,1,21,1,34.818261819,1,0,0,0,0,1,0,0
0,5000,65400.0,1.5,0,0,52.0,0,4,1,34.818261819,0,1,0,1,0,0,0,0
1,5000,37500.0,7.0,0,3,107.0,10,5,1,34.818261819,0,1,0,0,1,0,0,0
0,5000,98500.0,24.0,0,0,52.0,3,14,1,34.818261819,1,0,0,0,0,1,0,0
0,5000,80800.0,15.0,0,0,219.0,1,18,1,34.818261819,1,0,0,0,0,1,0,0
1,5000,26809.0,13.0,3,6,228.0,0,24,1,34.818261819,0,1,0,1,0,0,0,0
1,5000,82600.0,16.0,0,0,134.0,1,34,1,34.818261819,0,1,1,0,0,0,0,0
1,5000,107940.0,6.0,5,3,123.0,5,28,1,34.818261819,0,1,1,0,0,0,0,0
1,5000,75616.0,0.1,0,0,132.0,0,30,1,34.818261819,1,0,0,0,0,1,0,0
1,5000,85100.0,1.4,0,1,82.0,0,13,1,34.818261819,1,0,0,0,0,1,0,0
1,5000,36810.0,2.0,1,0,222.0,1,6,1,34.818261819,1,0,0,0,1,0,0,0
1,5000,32480.0,8.0,3,2,163.0,1,16,1,34.818261819,0,1,0,0,1,0,0,0
1,5000,89235.5,14.0,1,2,144.0,2,17,1,34.818261819,1,0,0,0,0,1,0,0
0,5000,59375.0,10.0,0,0,179.0,0,19,0,26.448197463,0,1,0,1,0,0,0,0
1,5000,75021.3,5.0,0,0,97.0,0,23,1,34.818261819,0,1,0,0,1,0,0,0
0,5000,97275.0,1.0,0,0,121.0,2,10,0,37.512708409,1,0,0,0,1,0,0,0
0,5000,93435.0,3.0,0,0,149.0,0,23,0,36.669278612,1,0,1,0,0,0,0,0
0,5000,55320.0,5.0,2,1,69.0,2,15,0,35.025072968,1,0,0,0,1,0,0,0
1,5000,85202.0,2.0,1,2,148.0,0,14,0,46.489874001,0,1,0,0,1,0,0,0
0,5000,46281.0,2.0,0,0,258.0,0,26,0,40.952588884,0,1,0,0,1,0,0,0
0,5000,82819.0,2.0,0,0,125.0,0,14,0,42.183538672,0,1,0,0,1,0,0,0
0,5100,251962.0,7.0,0,0,127.0,0,22,0,40.308259362,1,0,0,0,0,0,1,0
0,5100,115341.0,7.0,0,0,178.0,1,28,0,26.257970132,0,1,0,0,0,1,0,0
0,5100,80691.0,1.0,1,0,274.0,0,6,0,39.852146515,0,1,0,0,1,0,0,0
1,5100,46735.0,10.0,0,0,69.0,0,17,1,34.818261819,0,1,0,0,1,0,0,0
0,5100,26715.0,1.0,0,0,259.0,0,14,0,26.722343337,1,0,0,0,1,0,0,0
0,5100,121382.0,6.0,0,0,182.0,0,28,0,25.444759149,0,1,0,0,0,1,0,0
0,5100,28291.0,2.0,0,0,278.0,1,14,0,23.644691283,1,0,0,0,1,0,0,0
1,5100,30451.0,11.0,0,0,21.0,0,2,1,34.818261819,0,1,0,0,1,0,0,0
0,5100,116875.0,10.0,0,0,418.0,2,50,1,34.818261819,0,1,0,0,1,0,0,0
1,5100,34000.0,0.0,1,2,86.0,2,13,1,34.818261819,1,0,0,0,1,0,0,0
1,5100,141875.0,7.0,1,0,158.0,0,36,0,25.650741224,0,1,0,0,0,0,1,0
0,5100,87361.0,0.0,2,0,290.0,0,6,0,38.766985071,0,1,0,0,1,0,0,0
0,5100,96031.0,0.0,0,0,126.0,1,10,0,34.446079222,1,0,0,0,1,0,0,0
0,5100,97064.0,0.0,0,0,121.0,2,9,0,36.401729548,1,0,0,0,1,0,0,0
0,5100,79784.0,2.0,0,0,108.0,0,15,0,43.290139816,0,1,0,0,1,0,0,0
0,5200,36425.0,2.0,0,0,267.0,1,14,0,23.797401058,1,0,0,0,1,0,0,0
0,5200,77000.0,9.0,0,1,120.0,0,25,1,34.818261819,0,1,0,0,1,0,0,0
0,5200,53521.0,11.0,0,0,184.0,1,19,0,24.414763177,0,1,0,1,0,0,0,0
0,5200,26000.0,0.0,1,0,17.0,10,7,1,34.818261819,1,0,0,0,1,0,0,0
1,5200,9500.0,1.0,0,1,81.0,1,2,1,34.818261819,1,0,0,0,1,0,0,0
0,5200,110000.0,24.0,0,0,124.0,1,12,1,34.818261819,0,1,0,1,0,0,0,0
0,5200,45187.0,7.0,0,0,221.0,0,11,0,42.712093844,0,1,0,0,0,0,0,1
1,5200,39527.0,0.0,0,0,158.0,1,13,0,72.670433313,0,1,0,0,1,0,0,0
0,5300,84427.0,4.0,0,0,180.0,1,21,0,19.131201179,1,0,0,0,1,0,0,0
0,5300,65111.0,4.0,1,0,175.0,1,22,0,40.442570389,0,1,0,0,0,0,1,0
1,5300,36078.0,7.0,0,0,302.0,0,8,0,39.196985402,0,1,0,0,1,0,0,0
0,5300,49396.0,0.0,0,0,477.0,0,0,0,12.043670576,0,1,0,0,1,0,0,0
0,5300,50673.0,7.0,0,0,185.0,2,18,0,27.906122726,0,1,0,1,0,0,0,0
1,5300,64000.0,10.0,1,0,98.0,0,12,1,34.818261819,0,1,1,0,0,0,0,0
0,5300,91703.0,0.0,0,0,124.0,1,10,0,34.599060194,1,0,0,0,1,0,0,0
0,5300,117343.0,22.0,0,0,110.0,1,11,0,35.8385427,0,1,0,1,0,0,0,0
0,5300,80826.0,10.0,0,1,213.0,0,25,0,38.591494028,0,1,1,0,0,0,0,0
0,5300,96809.0,0.0,0,0,180.0,1,21,0,28.423961906,1,0,0,0,0,1,0,0
0,5300,63895.0,19.0,0,0,208.0,0,20,0,19.762113701,0,1,0,1,0,0,0,0
0,5300,62957.0,21.0,0,0,197.0,0,20,0,19.350505633,0,1,0,1,0,0,0,0
0,5400,64505.0,5.0,0,0,70.0,1,16,0,36.480236299,1,0,0,0,1,0,0,0
0,5400,65474.0,1.0,0,0,41.0,0,4,0,37.848771035,0,1,0,1,0,0,0,0
0,5400,52040.0,8.0,1,0,189.0,3,18,0,24.701136262,0,1,0,1,0,0,0,0
1,5400,57453.0,4.0,0,0,96.0,0,22,1,34.818261819,1,0,0,0,0,0,1,0
1,5400,63450.0,5.0,0,1,200.0,1,20,1,34.818261819,0,1,0,0,0,1,0,0
0,5400,119846.0,5.0,0,0,185.0,1,28,0,26.354889295,0,1,0,0,0,1,0,0
0,5400,82304.0,2.0,0,0,137.0,0,30,0,32.05002349,1,0,0,0,0,0,1,0
0,5400,85848.0,4.0,0,0,123.0,0,15,0,44.092325682,0,1,0,0,1,0,0,0
0,5400,75254.0,7.0,0,0,180.0,1,21,0,23.163742947,1,0,0,0,1,0,0,0
1,5400,88000.0,8.0,0,0,102.0,3,19,1,34.818261819,0,1,0,0,0,1,0,0
0,5400,55760.0,6.0,0,0,78.0,1,16,0,35.763637997,1,0,0,0,1,0,0,0
0,5500,82446.0,8.0,0,1,117.0,0,24,0,37.612682724,0,1,0,0,1,0,0,0
0,5500,35402.0,7.0,0,0,180.0,1,21,0,35.272073735,0,1,0,0,1,0,0,0
0,5500,101053.0,22.0,0,0,56.0,2,13,0,31.375542416,1,0,0,0,0,1,0,0
0,5500,65054.0,20.0,0,0,189.0,0,19,0,20.654128896,0,1,0,1,0,0,0,0
1,5500,35675.0,1.0,0,3,154.0,3,27,1,34.818261819,1,0,0,0,1,0,0,0
1,5500,43132.0,7.0,0,0,180.0,1,21,1,34.818261819,0,1,0,0,1,0,0,0
0,5500,81600.0,4.0,0,0,216.0,4,30,1,34.818261819,1,0,0,0,1,0,0,0
1,5500,30000.0,7.0,3,2,131.0,3,14,1,34.818261819,1,0,0,0,1,0,0,0
1,5500,13770.0,5.0,0,1,167.0,1,8,1,34.818261819,0,1,1,0,0,0,0,0
0,5500,115374.0,6.0,0,0,187.0,1,27,0,27.646748505,0,1,0,0,0,1,0,0
0,5500,116679.0,6.0,0,0,186.0,1,27,0,28.417530896,0,1,0,0,0,1,0,0
0,5500,78179.0,5.0,0,0,180.0,1,21,0,20.679313582,1,0,0,0,1,0,0,0
0,5500,69918.0,4.0,2,0,159.0,0,23,0,43.404430238,0,1,0,0,0,0,1,0
1,5500,46645.0,4.0,0,1,136.0,0,13,0,34.494708965,0,1,0,0,1,0,0,0
1,5500,12972.0,1.0,0,1,82.0,0,2,0,36.986744097,0,1,0,0,1,0,0,0
1,5500,48502.0,9.0,0,2,49.0,0,10,0,33.126483967,0,1,1,0,0,0,0,0
0,5500,66251.0,1.0,0,0,44.0,0,3,0,41.452043532,0,1,0,1,0,0,0,0
0,5500,72696.0,4.0,2,0,151.0,0,22,0,40.442567785,0,1,0,0,0,0,1,0
1,5500,122205.0,5.0,0,0,172.0,1,26,0,32.676640875,1,0,0,0,0,1,0,0
0,5600,66379.0,22.0,0,0,206.0,0,19,0,18.369540527,0,1,0,1,0,0,0,0
0,5600,83489.0,14.0,0,0,200.0,1,17,0,22.841092848,1,0,0,0,0,1,0,0
0,5600,39907.0,11.0,0,0,181.0,0,13,0,21.554949656,0,1,0,0,0,1,0,0
0,5600,77485.0,9.0,0,0,92.0,0,24,0,37.773350976,0,1,0,0,1,0,0,0
1,5600,66700.0,31.0,1,1,204.0,0,11,1,34.818261819,0,1,0,0,1,0,0,0
1,5600,86800.0,3.0,1,1,148.0,1,14,1,34.818261819,0,1,0,0,1,0,0,0
0,5600,53893.0,8.0,0,0,181.0,0,19,0,24.651395744,0,1,0,1,0,0,0,0
0,5600,47954.0,7.0,0,0,204.0,0,12,0,42.397769638,0,1,0,0,0,0,0,1
0,5700,111496.0,23.0,0,0,117.0,0,12,0,38.750562668,0,1,0,1,0,0,0,0
0,5700,74685.0,7.0,0,0,180.0,1,21,0,24.274865275,1,0,0,0,1,0,0,0
0,5700,58249.0,21.0,0,0,213.0,0,21,0,21.258026878,0,1,0,1,0,0,0,0
0,5700,85753.0,7.0,0,0,128.0,0,25,0,37.85968784,0,1,0,0,1,0,0,0
0,5700,36524.0,10.0,0,0,181.0,0,13,0,24.339533569,0,1,0,0,0,1,0,0
0,5700,68591.0,0.0,0,0,70.0,0,4,0,41.185039558,0,1,0,1,0,0,0,0
0,5700,35461.0,0.0,1,0,22.0,10,6,0,29.439664242,1,0,0,0,1,0,0,0
