BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,25300,46780.0,62536.0,DebtCon,Office,18.0,0,0,189.0,0,22,30.746724366
0,12100,48149.0,74539.0,DebtCon,ProfExe,17.0,0,0,200.0,0,15,23.130971888
0,27200,101680.0,134864.0,DebtCon,Office,10.0,0,1,151.0,0,29,40.880494666
1,11600,57939.0,69774.0,DebtCon,Mgr,5.0,0,0,92.0,0,12,72.264093333
1,27700,61396.0,111627.0,DebtCon,Self,20.0,0,0,87.0,0,4,84.61388869
0,14000,42000.0,60000.0,DebtCon,Mgr,27.0,1,0,281.0,1,17,34.749171693
1,15000,37000.0,58488.0,HomeImp,Other,2.0,0,0,267.0,0,48,34.749171693
0,17000,54780.0,93091.0,DebtCon,ProfExe,4.0,0,0,115.0,1,21,37.50862467
0,18900,64799.0,49442.0,DebtCon,Office,2.0,0,0,77.0,1,9,38.8759867
0,14000,62000.0,88500.0,HomeImp,Office,9.0,0,0,107.0,0,11,34.749171693
1,14000,49207.0,70525.0,DebtCon,Office,3.0,3,3,206.0,2,51,34.749171693
1,40000,4742.0,88772.0,DebtCon,Mgr,5.0,7,1,304.0,6,21,34.749171693
0,25000,65700.0,93400.0,DebtCon,Office,10.0,0,0,149.0,0,21,34.749171693
1,37300,68789.0,86172.0,HomeImp,Self,2.0,0,6,236.0,2,25,114.0505277
0,28900,225000.0,285000.0,DebtCon,ProfExe,15.0,0,1,259.0,2,26,34.749171693
0,13700,59530.0,81068.0,DebtCon,Other,0.0,0,0,108.0,3,10,37.846648093
0,15700,64799.0,28198.0,DebtCon,Other,12.0,0,0,88.0,2,9,32.445475521
1,20000,21300.0,308600.0,HomeImp,ProfExe,2.0,1,0,275.0,0,30,34.749171693
0,21300,101524.0,141859.0,HomeImp,ProfExe,10.0,0,0,162.0,0,23,31.987636327
0,7100,64850.0,76985.0,HomeImp,Other,0.0,0,0,108.0,0,7,36.337557557
0,20900,69233.0,105434.0,DebtCon,Other,7.0,2,0,242.0,1,13,40.163650532
0,24900,89530.0,146815.0,DebtCon,ProfExe,19.0,1,0,165.0,1,25,39.345858588
1,14100,61036.0,84979.0,HomeImp,Mgr,1.0,0,0,175.0,2,23,50.276214936
0,24300,50826.0,68199.0,DebtCon,Other,7.0,0,0,71.0,1,19,36.496201084
0,11100,47689.0,52910.0,HomeImp,Mgr,21.0,1,1,224.0,1,18,34.947076581
0,22000,61251.0,91744.0,DebtCon,Office,0.0,0,0,145.0,0,21,34.347908749
0,5400,47844.0,52040.0,HomeImp,Office,8.0,1,0,189.0,3,18,24.701136262
0,32900,9200.0,66056.0,DebtCon,Other,0.0,0,0,108.0,1,6,37.189551645
1,10000,19225.53,35500.0,HomeImp,Office,5.0,0,2,186.0,1,10,34.749171693
0,14200,60570.0,74648.0,DebtCon,ProfExe,2.0,0,0,138.0,2,35,40.289761298
1,5200,40564.0,39527.0,HomeImp,Other,0.0,0,0,158.0,1,13,72.670433313
0,17500,100642.0,138550.0,DebtCon,Office,3.0,2,0,115.0,3,16,32.176380263
0,14700,27235.0,39102.0,HomeImp,Other,8.0,0,0,71.0,2,11,29.151698162
0,10100,54873.0,73085.0,HomeImp,Other,5.0,0,1,252.0,1,16,38.727417297
0,37900,201996.0,272874.0,DebtCon,ProfExe,3.0,0,0,250.0,0,32,31.427582447
0,23500,86144.0,138953.0,DebtCon,Other,13.0,0,0,110.0,3,15,41.841690898
0,22700,93413.0,134653.0,DebtCon,ProfExe,7.0,0,0,220.0,1,21,27.284560734
0,24400,119111.0,154860.0,DebtCon,Mgr,3.0,0,0,297.0,0,25,38.493132607
0,22000,15774.0,60115.0,DebtCon,Other,27.0,0,1,213.0,0,24,25.576809652
0,10200,46140.0,56206.0,DebtCon,Other,8.0,1,0,116.0,1,25,22.313705147
0,19300,76807.0,103026.0,HomeImp,Mgr,13.0,0,0,169.0,0,27,34.876358722
1,17400,96590.0,112115.0,DebtCon,Other,0.0,6,0,179.0,2,46,41.117887486
0,14900,36120.0,57095.0,DebtCon,ProfExe,4.0,0,0,239.0,1,35,38.171623527
0,17400,44479.0,78121.0,DebtCon,Mgr,1.0,0,0,117.0,0,9,27.133989435
0,15700,64793.0,99157.0,HomeImp,ProfExe,22.0,0,0,245.0,1,23,38.328188879
1,40000,147224.0,225000.0,DebtCon,Self,2.0,0,4,158.0,3,28,34.749171693
0,26700,81968.0,114647.0,DebtCon,ProfExe,10.0,0,1,127.0,0,19,27.056726972
1,3500,23200.0,38666.0,HomeImp,Other,11.0,0,0,162.0,0,14,34.749171693
0,9300,79724.0,105493.0,DebtCon,Mgr,2.0,0,0,63.0,2,23,39.38611808
0,25100,58042.0,98964.0,DebtCon,Other,16.0,0,1,126.0,0,29,38.372223501
0,5000,66839.0,87168.0,HomeImp,Other,4.0,0,0,123.0,0,15,40.616779346
1,10800,52600.0,66700.0,DebtCon,ProfExe,2.0,0,0,111.0,5,26,34.749171693
1,25900,42105.0,73249.0,DebtCon,Other,2.0,0,0,109.0,3,22,31.809085921
0,16700,59207.0,83146.0,DebtCon,Other,2.0,0,0,309.0,3,15,43.48806641
1,12300,48238.0,66603.0,HomeImp,Office,6.0,0,1,80.0,1,11,40.01910455
0,29700,46268.0,79463.0,DebtCon,Office,0.0,0,0,161.0,3,19,40.261962227
1,25000,191600.0,231000.0,DebtCon,Other,7.0,1,3,107.0,1,27,34.749171693
0,9800,81199.0,206201.0,HomeImp,Self,12.0,0,0,3.0,6,7,21.28386768
0,38900,198749.0,270751.0,DebtCon,ProfExe,4.0,0,0,246.0,0,32,29.622368686
0,8700,58007.0,73069.0,DebtCon,ProfExe,14.0,0,0,240.0,3,31,37.897480893
0,11800,64799.0,51246.0,HomeImp,Other,11.0,0,0,306.0,2,13,32.500059069
0,21100,55863.0,81406.0,DebtCon,Mgr,10.0,1,0,75.0,2,27,36.760275709
1,50200,197770.0,271676.0,DebtCon,Mgr,16.0,0,0,147.0,1,20,42.926580203
1,18600,23850.0,61808.0,HomeImp,Other,12.0,0,0,47.0,0,8,40.852927503
0,9800,52973.0,65481.0,HomeImp,Other,10.0,0,0,101.0,2,33,36.878297002
0,7800,64799.0,30320.0,DebtCon,Other,2.0,0,0,295.0,0,13,23.245673006
0,7200,71509.0,86484.0,DebtCon,Other,4.0,0,0,181.0,1,21,20.099049784
1,3200,27200.0,40834.0,HomeImp,Other,7.0,0,0,298.0,0,7,35.553538789
0,14900,56506.0,81390.0,HomeImp,ProfExe,12.0,0,2,171.0,0,14,34.749171693
0,25100,147622.0,187441.0,HomeImp,Self,3.0,0,0,170.0,0,16,41.52143161
0,22800,76502.0,101288.0,DebtCon,Other,20.0,0,0,188.0,0,12,40.351902286
1,45000,47321.0,115000.0,DebtCon,Other,7.0,0,1,130.0,0,22,34.749171693
0,18800,66562.0,90325.0,DebtCon,Other,0.0,1,1,113.0,2,25,33.162271481
0,5400,64799.0,75254.0,DebtCon,Other,7.0,0,0,181.0,1,21,23.163742947
0,16700,64862.0,107919.0,HomeImp,ProfExe,10.0,0,0,260.0,0,11,36.824339033
1,5500,64799.0,43132.0,HomeImp,Other,7.0,0,0,181.0,1,21,34.749171693
0,12200,57785.0,72971.0,DebtCon,Other,2.0,0,0,167.0,1,16,34.709643927
0,12700,30061.0,58714.0,DebtCon,Other,29.0,0,0,231.0,0,19,20.637917598
0,12700,61840.0,73541.0,DebtCon,ProfExe,1.0,0,0,158.0,2,35,41.651691707
0,12500,17659.0,31843.0,DebtCon,Office,7.0,0,1,108.0,0,16,19.300854446
0,15400,64799.0,43899.0,HomeImp,Other,0.0,0,0,325.0,1,9,27.77956059
0,25000,64799.0,35000.0,DebtCon,Other,10.0,1,1,89.0,3,14,34.749171693
0,15600,75701.0,106389.0,DebtCon,ProfExe,0.0,0,0,279.0,2,21,40.108259064
1,13000,41193.0,58000.0,DebtCon,Other,18.0,3,2,67.0,4,7,34.749171693
0,33500,73761.0,117729.0,DebtCon,Mgr,11.0,0,0,62.0,0,35,25.461614071
0,27800,181405.0,229116.0,DebtCon,ProfExe,0.0,0,0,298.0,0,32,43.520428182
0,17500,99853.0,163401.0,DebtCon,Mgr,0.0,0,0,208.0,1,18,37.82861717
0,17500,153839.0,194027.0,DebtCon,Other,7.0,0,0,143.0,1,15,29.113651196
0,20400,52109.0,100316.0,DebtCon,Office,0.0,0,4,167.0,0,46,35.526227509
0,25400,62906.0,96327.0,DebtCon,Other,17.0,0,0,111.0,1,16,33.760748359
0,7100,53273.0,54378.0,HomeImp,Other,5.0,0,0,85.0,0,17,22.861199646
0,12900,45215.0,66162.0,DebtCon,Other,4.0,0,0,171.0,0,14,39.248014917
0,15000,89126.0,118300.0,DebtCon,Office,0.4,0,3,263.0,1,30,34.749171693
0,8200,120837.0,176244.0,DebtCon,Other,8.0,0,0,197.0,0,20,34.745743152
0,4500,64799.0,49044.0,HomeImp,Other,0.0,0,0,294.0,0,0,11.652738796
0,20000,64799.0,130063.0,HomeImp,Other,2.0,0,0,324.0,2,21,32.314419378
0,12800,206527.0,227737.0,HomeImp,ProfExe,11.0,0,0,225.0,0,22,31.12184071
0,60500,40669.0,70207.0,DebtCon,Other,3.0,0,0,96.0,0,21,29.36696636
0,8700,68186.0,82518.0,HomeImp,Other,1.0,0,0,105.0,0,7,36.44893885
0,15200,7879.0,95124.0,HomeImp,Other,13.0,0,1,270.0,0,22,29.160140823
0,87500,55938.0,86794.0,DebtCon,Other,15.0,0,0,224.0,0,16,36.753652674
0,10100,32608.0,47377.0,HomeImp,Other,9.0,0,0,67.0,0,3,35.690193036
0,16300,71510.0,89756.0,DebtCon,Other,2.0,0,0,193.0,0,30,31.413585832
0,15000,48000.0,105000.0,HomeImp,Office,2.0,1,3,142.0,1,24,34.749171693
0,8300,51783.0,57839.0,DebtCon,Other,3.0,0,0,96.0,0,20,36.210351332
0,30800,29226.0,44735.0,DebtCon,Other,1.0,0,0,66.0,0,7,13.783965436
0,16700,64799.0,29387.0,DebtCon,Other,13.0,0,0,81.0,2,8,33.364491337
1,12800,111000.0,124500.0,DebtCon,Sales,7.0,1,0,204.0,2,40,34.749171693
0,20000,127826.0,277500.0,HomeImp,Mgr,3.0,0,0,194.0,0,15,34.749171693
0,10900,64799.0,76207.0,DebtCon,Other,7.0,0,0,181.0,1,21,22.392611597
0,13500,59941.0,69336.0,HomeImp,Other,29.0,1,2,183.0,1,24,35.51267298
1,10000,90700.0,123370.0,DebtCon,ProfExe,15.0,2,0,90.0,1,4,34.749171693
0,8700,62400.0,81315.0,DebtCon,Office,6.0,0,0,98.0,2,14,26.620897734
0,6900,50387.0,68443.0,DebtCon,Mgr,7.0,1,3,106.0,2,10,40.717668846
0,9600,46683.0,61773.0,DebtCon,Office,1.0,0,0,171.0,1,20,38.005289312
0,40700,11541.0,64714.0,HomeImp,Office,7.0,1,0,299.0,0,19,16.5302805
0,22300,69002.0,105292.0,DebtCon,Office,8.0,0,0,96.0,2,17,35.755106732
0,27400,64799.0,121625.0,DebtCon,Mgr,7.0,1,0,154.0,0,27,33.373813672
0,51800,174945.0,251643.0,DebtCon,ProfExe,5.0,0,0,258.0,1,33,40.174064762
0,19000,145800.0,190300.0,DebtCon,ProfExe,13.0,0,0,110.0,1,24,34.749171693
0,18300,73510.0,95132.0,DebtCon,Mgr,0.0,0,0,87.0,0,17,25.244046294
0,18500,67290.0,95750.0,DebtCon,Other,7.0,2,1,237.0,2,14,34.749171693
0,40500,66895.0,113770.0,DebtCon,Mgr,14.0,0,0,188.0,0,22,38.085328131
0,51500,64799.0,90003.0,HomeImp,Other,7.0,0,0,348.0,0,7,25.324001925
0,14400,32683.0,48467.0,HomeImp,Other,11.0,0,0,114.0,0,10,21.46972396
0,25300,51261.0,87025.0,DebtCon,Mgr,4.0,0,0,250.0,2,25,31.658786411
0,16600,74681.0,95471.0,DebtCon,Other,6.0,0,0,188.0,4,19,40.453753155
0,23400,81379.0,105005.0,DebtCon,Other,7.0,0,0,187.0,1,24,37.889768706
0,18100,46145.0,72200.0,DebtCon,ProfExe,11.0,0,0,178.0,0,42,40.574022482
0,25200,51789.0,75569.0,DebtCon,Other,25.0,1,1,282.0,1,30,40.874619093
0,15300,53736.0,102094.0,HomeImp,Other,0.0,0,2,33.0,1,10,40.104809597
1,13000,36223.0,88772.0,DebtCon,Other,9.0,1,0,133.0,0,14,34.749171693
0,24500,80072.0,107559.0,DebtCon,Other,18.0,0,0,195.0,0,12,39.210169634
0,11500,59781.0,69864.0,DebtCon,Other,4.0,0,1,313.0,0,9,31.181801354
0,16600,74784.0,100221.0,DebtCon,Mgr,1.0,0,0,90.0,0,17,25.708393802
0,17800,64799.0,95639.0,DebtCon,Other,7.0,0,0,180.0,1,9,33.142257222
0,26300,87291.0,122531.0,DebtCon,ProfExe,10.0,0,1,128.0,0,18,27.837509605
1,22400,64799.0,139654.0,DebtCon,Office,10.0,0,0,181.0,1,21,35.236265235
0,18900,103130.0,120119.0,DebtCon,Other,7.0,0,0,293.0,1,19,30.681688914
0,69600,198702.0,293252.0,DebtCon,Self,10.0,0,0,208.0,2,24,27.761644137
0,11500,70409.0,89099.0,DebtCon,ProfExe,9.0,0,0,169.0,0,11,40.174430056
0,7400,64799.0,44651.0,HomeImp,Other,2.0,0,0,272.0,0,25,42.930043097
0,33500,240157.0,42013.0,DebtCon,Mgr,3.0,0,2,202.0,2,50,41.644794258
0,23000,62893.0,90989.0,DebtCon,Office,4.0,0,0,180.0,1,16,38.630946734
0,43200,367917.0,466755.0,HomeImp,ProfExe,3.0,0,0,312.0,4,15,42.62357404
0,17700,98476.0,136319.0,DebtCon,Office,2.0,1,0,111.0,3,16,32.221024839
0,5900,64799.0,66903.0,DebtCon,Other,7.0,0,0,181.0,1,21,32.782926828
0,23800,44372.0,67279.0,DebtCon,Other,6.0,0,0,76.0,2,19,36.529569478
0,16700,54079.0,112463.0,HomeImp,Office,1.0,1,3,135.0,1,23,37.033954387
0,11300,129489.0,195105.0,HomeImp,Office,0.0,0,1,356.0,0,16,41.634017956
0,12700,79383.0,107590.0,DebtCon,Other,5.0,0,0,78.0,2,14,33.581116502
0,21300,67282.0,86861.0,DebtCon,Office,4.0,0,0,174.0,1,15,37.364528826
0,18200,57980.0,79265.0,DebtCon,Other,16.0,0,0,194.0,0,20,37.725760606
1,15700,60316.0,80000.0,DebtCon,Mgr,0.2,1,0,85.0,1,23,34.749171693
0,12200,61302.0,90873.0,DebtCon,Other,2.0,0,0,36.0,1,4,39.973613155
0,15500,25448.0,39188.0,DebtCon,Office,3.0,0,0,216.0,0,16,38.975114989
0,13600,41000.0,73440.0,DebtCon,Mgr,4.0,0,0,126.0,1,9,34.749171693
0,9100,43249.0,52946.0,HomeImp,Mgr,20.0,1,1,228.0,1,18,35.181840743
0,13900,11413.0,81273.0,DebtCon,Other,7.0,0,0,239.0,0,14,19.626149514
0,15700,64625.0,93272.0,DebtCon,Office,0.0,0,0,179.0,0,24,23.74406826
0,22100,132417.0,170643.0,DebtCon,ProfExe,4.0,0,0,180.0,0,37,21.236090456
0,20500,53438.0,118731.0,DebtCon,ProfExe,14.0,0,0,259.0,0,20,26.146927186
0,23500,133197.0,168990.0,DebtCon,Other,8.0,1,0,214.0,0,19,36.642629039
0,11000,88252.0,112567.0,DebtCon,Other,11.0,0,0,225.0,2,15,39.526852362
0,17600,62996.0,86817.0,HomeImp,ProfExe,12.0,0,1,153.0,0,14,29.203654576
0,41700,59889.0,109250.0,DebtCon,Mgr,16.0,0,0,187.0,0,22,36.968814443
0,86000,47355.0,85000.0,DebtCon,Other,15.0,0,0,211.0,0,16,34.749171693
0,26400,122105.0,165000.0,DebtCon,Mgr,1.0,0,0,234.0,2,24,34.749171693
0,13700,84996.0,112522.0,HomeImp,ProfExe,9.0,0,1,172.0,0,28,32.843504905
0,12700,72164.0,104220.0,DebtCon,Office,10.0,0,0,165.0,0,13,37.539963363
0,11000,15129.0,29375.0,DebtCon,Office,6.0,0,1,102.0,0,17,34.749171693
1,12100,186062.0,227171.0,HomeImp,ProfExe,0.0,0,0,68.0,0,4,26.990532996
0,22800,64799.0,147730.0,DebtCon,Other,7.0,0,0,181.0,1,21,16.179249586
0,17000,45671.0,64516.0,HomeImp,Other,27.0,0,0,246.0,0,13,25.701205603
0,24700,55435.0,89663.0,DebtCon,Mgr,7.0,0,0,253.0,2,26,34.741847932
1,9300,24000.0,37125.0,DebtCon,Office,3.5,1,1,148.0,2,19,34.749171693
0,21500,9579.0,30807.0,DebtCon,Other,7.0,0,0,58.0,2,19,42.49201034
0,8300,41481.0,50448.0,HomeImp,Mgr,20.0,0,1,231.0,1,18,35.88829101
0,17200,45900.0,68126.0,HomeImp,Office,4.0,0,0,111.0,0,17,34.179046884
0,16500,44330.0,72618.0,DebtCon,Other,6.0,0,0,101.0,2,15,41.457025199
0,17400,61035.0,90434.0,HomeImp,ProfExe,4.0,0,0,114.0,0,12,25.357194605
0,20200,64799.0,68031.0,HomeImp,Office,6.0,0,0,121.0,1,4,18.320487992
0,25500,143881.0,178914.0,DebtCon,ProfExe,7.0,0,0,323.0,0,35,37.575821975
0,9400,64799.0,50575.0,HomeImp,Other,7.0,0,1,99.0,1,8,35.9078154
0,21200,91759.0,95165.0,DebtCon,ProfExe,2.0,0,0,107.0,0,19,34.216689169
0,14000,83645.0,101615.0,HomeImp,ProfExe,5.0,0,0,116.0,0,26,28.296734839
1,9500,50400.0,63000.0,DebtCon,Other,1.0,0,0,91.0,8,22,34.749171693
0,8500,41210.0,45175.0,DebtCon,Office,9.0,0,0,209.0,1,22,29.96408198
0,25100,65633.0,100776.0,DebtCon,Other,15.0,0,1,142.0,0,29,40.62020969
0,13700,53094.0,79069.0,HomeImp,Other,2.0,0,2,156.0,0,13,29.556366385
1,3500,19400.0,20494.0,HomeImp,Other,5.0,0,0,96.0,0,9,34.749171693
0,27700,35132.0,71456.0,DebtCon,Mgr,13.0,0,0,85.0,5,16,35.650730315
0,15300,64799.0,92320.0,DebtCon,Office,28.0,0,0,326.0,0,15,15.335560256
0,22100,64799.0,65192.0,HomeImp,Office,9.0,0,0,128.0,1,4,18.882955601
